Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
135.141216,1108225.1,0,0,0,0,0,0,0,0,0,0,135.141122535239,135.141122535239,136.148399002119,7.62,432605.3,0.00534951651738047,130
136.012756,1074833.5,0,0,0,0,0,0,0,0,0,0,136.012659216141,136.012659216141,137.019935683021,7.29,799485.6,0.00518833183049532,131
136.340278,1090553.3,0,0,0,0,0,0,0,0,0,0,136.340179963024,136.340179963024,137.347456429904,7.44,703404.2,0.00526421292157503,132
136.66121,1072704,0,0,0,0,0,0,0,0,0,0,136.661110732061,136.661110732061,137.668387198941,7.27,626125.1,0.00517805251501712,133
136.800675,1049339.1,0,0,0,0,0,0,0,0,0,0,136.80057519619,136.80057519619,137.80785166307,7.06,625671.7,0.00506526774008561,134
136.819922,1051811.3,0,0,0,0,0,0,0,0,0,0,136.819822122192,136.819822122192,137.827098589072,7.08,773969.5,0.00507720130370393,135
136.922522,1055887,0,0,0,0,0,0,0,0,0,0,136.922421727547,136.922421727547,137.929698194427,7.12,697644.3,0.00509687512671145,136
137.291229,1087597.4,0,0,0,0,0,0,0,0,0,0,137.291127306804,137.291127306804,138.298403773684,7.41,723153.7,0.00524994448831744,137
137.845526,1130431.5,0,0,0,0,0,0,0,0,0,0,137.845422163494,137.845422163494,138.852698630374,7.78,801275.5,0.00545670909368248,138
138.445252,1090314.9,0,0,0,0,0,0,0,0,0,0,138.445145834534,138.445145834534,139.452422301414,7.41,713892,0.00526306214026016,139
138.835445,1141691.6,0,0,0,0,0,0,0,0,0,0,138.835337313731,138.835337313731,139.842613780611,7.87,738521.7,0.00551106275426764,140
139.52562,1059961.6,0,0,0,0,0,0,0,0,0,0,139.525509613109,139.525509613109,140.532786079989,7.11,707592.4,0.00511654363990585,141
139.553037,1083654.4,0,0,0,0,0,0,0,0,0,0,139.552926505549,139.552926505549,140.560202972429,7.33,788757,0.00523091122185558,142
