Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
124.305982,1098885.8,0,0,0,0,0,0,0,0,0,0,124.30569553731,124.30569553731,125.31297200419,7.7,579124.5,0.0069014815195921,92
124.326686,1123905,0,0,0,0,0,0,0,0,0,0,124.326399490118,124.326399490118,125.333675956998,7.93,713401.5,0.00705861299443232,93
124.340405,1237923.3,0,0,0,0,0,0,0,0,0,0,124.340118458847,124.340118458847,125.347394925727,8.99,952524.8,0.00777469758697625,94
124.345331,1032004,0,0,0,0,0,0,0,0,0,0,124.345044447618,124.345044447618,125.352320914498,7.08,785314,0.00648143468060568,95
124.396658,1033596.2,0,0,0,0,0,0,0,0,0,0,124.396371330621,124.396371330621,125.403647797501,7.09,557873.3,0.00649143439019834,96
124.653863,1189222.3,0,0,0,0,0,0,0,0,0,0,124.653575744286,124.653575744286,125.660852211166,8.54,860946.3,0.00746883409189272,97
124.846052,1171030.8,0,0,0,0,0,0,0,0,0,0,124.845764306107,124.845764306107,125.853040772987,8.37,673067.2,0.00735458354732871,98
124.932221,1222165.8,0,0,0,0,0,0,0,0,0,0,124.931933109631,124.931933109631,125.939209576511,8.85,789023.8,0.00767573362270901,99
125.914277,1026965.3,0,0,0,0,0,0,0,0,0,0,125.913986869728,125.913986869728,126.921263336608,7.02,492574.4,0.00644978944965196,100
126.165989,1145824.4,0,0,0,0,0,0,0,0,0,0,126.165698295406,126.165698295406,127.172974762286,8.12,743223.5,0.0071962763749406,101
126.399382,1054369.1,0,0,0,0,0,0,0,0,0,0,126.399090762804,126.399090762804,127.406367229684,7.27,714920.1,0.00662189725126938,102
126.417305,1033652.9,0,0,0,0,0,0,0,0,0,0,126.417013721901,126.417013721901,127.424290188781,7.08,607589.8,0.00649179049089794,103
126.837669,1094272.4,0,0,0,0,0,0,0,0,0,0,126.837376762432,126.837376762432,127.844653229312,7.62,774364,0.00687250735790715,104
126.92316,1030835.5,0,0,0,0,0,0,0,0,0,0,126.922867567271,126.922867567271,127.930144034151,7.04,694981,0.00647409599158482,105
126.979882,1101472.4,0,0,0,0,0,0,0,0,0,0,126.979589437779,126.979589437779,127.986865904659,7.69,697839,0.00691772649436434,106
127.156692,1034104.8,0,0,0,0,0,0,0,0,0,0,127.156399034106,127.156399034106,128.163675500986,7.07,965989.1,0.00649462861975419,107
127.703827,1259514.6,0,0,0,0,0,0,0,0,0,0,127.703532784669,127.703532784669,128.710809251549,9.15,703339.4,0.00791030035655792,108
128.953548,1034254.1,0,0,0,0,0,0,0,0,0,0,128.953250929188,128.953250929188,129.960527396068,7.05,814103.5,0.00649556628879212,109
129.003208,1136459.6,0,0,0,0,0,0,0,0,0,0,129.002910815672,129.002910815672,130.010187282552,7.99,693910.5,0.00713746135145529,110
129.672403,1036360.5,0,0,0,0,0,0,0,0,0,0,129.672104285634,129.672104285634,130.679380752514,7.05,594390.3,0.00650879539838009,111
130.086402,1041378.4,0,0,0,0,0,0,0,0,0,0,130.086102338735,130.086102338735,131.093378805615,7.1,523278.5,0.00654030999627294,112
130.347382,1090033.1,0,0,0,0,0,0,0,0,0,0,130.347081741686,130.347081741686,131.354358208566,7.54,743605,0.0068458827071873,113
130.533605,1158586.3,0,0,0,0,0,0,0,0,0,0,130.533304315596,130.533304315596,131.540580782476,8.18,859514.3,0.0072764266662674,114
130.633932,1113193.4,0,0,0,0,0,0,0,0,0,0,130.633631086019,130.633631086019,131.640907552899,7.76,610327.8,0.00699133948025526,115
130.936111,1195304.3,0,0,0,0,0,0,0,0,0,0,130.935809394453,130.935809394453,131.943085861333,8.5,623939.5,0.0075070317013278,116
131.256798,1118591.1,0,0,0,0,0,0,0,0,0,0,131.256495660373,131.256495660373,132.263772127253,7.79,804069.7,0.00702523938759623,117
131.951252,1093605.3,0,0,0,0,0,0,0,0,0,0,131.95094807015,131.95094807015,132.95822453703,7.56,743970.7,0.00686831767930568,118
132.150904,1132873.3,0,0,0,0,0,0,0,0,0,0,132.150599612826,132.150599612826,133.157876079706,7.92,539286.6,0.00711493782519468,119
132.522404,1126058,0,0,0,0,0,0,0,0,0,0,132.522098761695,132.522098761695,133.529375228575,7.84,786496.7,0.00707213477232014,120
132.749633,1037882.1,0,0,0,0,0,0,0,0,0,0,132.749327240988,132.749327240988,133.756603707868,7.03,743365.2,0.00651835170921804,121
132.835413,1056888.6,0,0,0,0,0,0,0,0,0,0,132.835107044396,132.835107044396,133.842383511276,7.2,771168.9,0.00663772080881158,122
133.113352,1103420.4,0,0,0,0,0,0,0,0,0,0,133.11304540733,133.11304540733,134.12032187421,7.63,744091.5,0.00692996078295025,123
134.247345,1038627,0,0,0,0,0,0,0,0,0,0,134.247035806761,134.247035806761,135.254312273641,7.01,730794.4,0.00652303000571067,124
134.995237,1041174.9,0,0,0,0,0,0,0,0,0,0,134.994926090438,134.994926090438,136.002202557318,7.03,719500.3,0.00653903192762446,125
135.090705,1071532.9,0,0,0,0,0,0,0,0,0,0,135.090393871281,135.090393871281,136.097670338161,7.31,748790.4,0.00672969339214769,126
135.406502,1040715.7,0,0,0,0,0,0,0,0,0,0,135.406190146223,135.406190146223,136.413466613103,7.03,844224.2,0.00653614795158819,127
135.46978,1068389.4,0,0,0,0,0,0,0,0,0,0,135.469468000918,135.469468000918,136.476744467798,7.28,710402.9,0.00670995084277919,128
135.907235,1180792.4,0,0,0,0,0,0,0,0,0,0,135.9069219962,135.9069219962,136.91419846308,8.29,846165.4,0.00741589064766766,129
136.12397,1066034.3,0,0,0,0,0,0,0,0,0,0,136.123656498292,136.123656498292,137.130932965172,7.24,740334.6,0.00669515978885276,130
136.933332,1074729,0,0,0,0,0,0,0,0,0,0,136.933016638194,136.933016638194,137.940293105074,7.32,735260.5,0.00674976629242974,131
137.088649,1424812.1,0,0,0,0,0,0,0,0,0,0,137.088333281105,137.088333281105,138.095609747985,10.52,650129,0.00894844066329841,132
