molecular formula,Altamaha_PP48_000107-4_p08
C15H20O7,61307648.0
C16H24O6,13277967.0
C17H28O3S,40467220.0
C17H28O5,2266395.8
C(13)12H13O7P,1717329.0
C(13)12H12O9,3000916.0
C(13)13H17O6P,4695134.5
C(13)13H16O8,7996513.0
C(13)14H21O5P,3179627.5
C(13)14H20O7,8197230.5
C(13)15H24O6,2068091.6
C(13)16H28O3S,6509698.5
C12H10O8S,1596592.4
C12H10O10,3832246.8
C16H10O7,2717628.3
C13H14O7S,2742205.5
C13H15O7P,2569665.0
C13H14O9,38305220.0
C17H14O6,3373513.5
C14H18O6S,2986442.8
C14H19O6P,4871630.5
C14H18O8,59211216.0
C18H18O5,2162902.8
C15H22O5S,1903832.0
C15H23O5P,2067419.5
C15H22O7,27393502.0
C19H22O4,1316708.0
C16H26O6,3557867.8
C18H34O4,1361670.1
C(13)12H15O7P,1972013.5
C(13)12H14O9,5296944.5
C(13)16H14O6,1356085.8
C(13)13H19O6P,3362106.8
C(13)13H18O8,8531774.0
C(13)14H23O5P,1544519.8
C(13)14H22O7,3810634.8
C15H8O8,1726090.6
C12H12O8S,2022027.9
C12H13O8P,2633871.5
C12H12O10,12066962.0
C16H12O7,6524056.0
C13H16O7S,3628185.0
C13H17O7P,6337692.5
C13H16O9,42139808.0
C16H18ON2P2,2474659.0
C17H16O6,8186021.0
C14H20O6S,2865830.3
C14H21O6P,13097130.0
C14H20O8,28754092.0
C18H20O5,4370610.0
C15H24O5S,1396915.4
C15H25O5P,2335927.0
C15H24O7,8106170.0
C16H28O6,1714631.0
C(13)11H12O10,1457661.8
C15H11O7N,2400768.3
C(13)12H17O7P,2079239.9
C(13)12H16O9,6139403.0
C16H15O6N,2472461.5
C(13)16H16O6,1430544.4
C(13)13H21O6P,3309077.0
C(13)13H20O8,3989016.0
C(13)14H24O7,1319205.1
C17H36O2NP,6731335.0
C15H10O8,8029028.0
C12H14O8S,3423077.3
C12H15O8P,6582121.0
C12H14O10,13024108.0
C15H16O2N2P2,2099567.3
C16H14O7,14926705.0
C13H18O7S,4473714.5
C15H14O6N2,2307445.3
C13H19O7P,14629750.0
C13H18O9,15901561.0
C16H20ON2P2,5276540.5
C17H18O6,13570942.0
C14H22O6S,2418047.5
C16H18O5N2,1627522.5
C14H23O6P,15328131.0
C14H22O8,7079814.0
C18H22O5,10574732.0
C15H26O5S,1739660.8
C15H27O5P,2362256.3
C15H26O7,2551187.3
C19H26O4,1841304.8
C17H35O3P,3209130.5
C14H9O8N,1654987.5
C(13)14H10O8,1743054.4
C(13)11H14O10,1892822.0
C15H13O7N,3992280.5
C(13)15H14O7,3283675.5
C(13)12H19O7P,3204320.3
C(13)12H18O9,2397411.0
C16H17O6N,2594533.8
C(13)16H18O6,2111208.5
C(13)13H23O6P,2717421.3
C(13)17H22O5,1342197.8
