Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-3_p08
324.044233641568,13,12,9,0,1,0,0,0,CHO,Lignin,325.051510108448,-0.0716395627984811,2,4027183.8
324.0724861702,14,17,6,0,1,0,1,0,CHOP,Lignin,325.07976263708,-0.409164134808679,3,5817146
324.080609034678,14,16,8,0,1,0,0,0,CHO,Lignin,325.087885501558,-0.0405224500909665,1,7045948.5
324.108852563463,15,21,5,0,1,0,1,0,CHOP,Lignin,325.116129030343,-0.350330029563585,2,3785542.8
324.116942428492,15,20,7,0,1,0,0,0,CHO,Lignin,325.124218895372,0.119766923928254,1,8491850
324.153354820994,16,24,6,0,1,0,0,0,CHO,Lignin,325.160631287874,0.0370676059100432,1,3362134.5
324.762477123029,0,0,0,0,0,0,0,0,,None,325.769753589909,0,0,2255918.8
325.020118100243,13,10,10,0,0,0,0,0,CHO,ConHC,326.027394567123,0.00605739473985486,3,6569098.5
325.035420246284,17,10,7,0,0,0,0,0,CHO,ConHC,326.042696713164,-0.135066555420925,4,1676432
325.038767684549,14,14,7,0,0,1,0,0,CHOS,Lignin,326.046044151429,-0.0633570908248504,2,2338449.3
325.046062998436,18,15,2,0,0,1,1,0,CHOSP,UnsatHC,326.053339465316,-0.927883811937631,3,1715859.8
325.048401701941,14,15,7,0,0,0,1,0,CHOP,Lignin,326.055678168821,-0.425763543095874,4,2111124.5
325.050930543942,21,10,4,0,0,0,0,0,CHO,ConHC,326.058207010822,-0.914564995051243,3,1337493.5
325.056503603344,14,14,9,0,0,0,0,0,CHO,Lignin,326.063780070224,0.0060665312570058,3,38028440
325.067738824594,13,14,8,2,0,0,0,0,CHON,Lignin,326.075015291474,0.000445070656434787,3,1784987.5
325.069574306209,11,19,9,0,0,0,1,0,CHOP,Carb,326.076850773089,-0.558317121465997,4,1799324.1
325.071759735704,18,14,6,0,0,0,0,0,CHO,ConHC,326.079036202584,0.00607035693978176,3,1639069
325.075112648013,15,18,6,0,0,1,0,0,CHOS,Lignin,326.082389114893,0.0609830751630183,2,2325150.3
325.084809993195,15,19,6,0,0,0,1,0,CHOP,Lignin,326.092086460075,-0.495588768291115,2,3318945.5
325.092889106449,15,18,8,0,0,0,0,0,CHO,Lignin,326.100165573329,0.00607565144164764,3,63931556
325.104113166694,14,18,7,2,0,0,0,0,CHON,Lignin,326.111389633574,0.0346793337296334,3,2170024.5
325.105931042715,12,23,8,0,0,0,1,0,CHOP,AminoSugar,326.113207509595,-0.470034611466975,4,3097769.3
325.111449630612,16,22,5,0,0,1,0,0,CHOS,Lignin,326.118726097492,0.209767800309315,4,2853035
325.121194605366,16,23,5,0,0,0,1,0,CHOP,Lignin,326.128471072246,-0.492791828921621,2,2711214.5
325.123711049467,23,18,2,0,0,0,0,0,CHO,ConHC,326.130987516347,-0.943468602036166,3,1490863.5
325.129274609559,16,22,7,0,0,0,0,0,CHO,Lignin,326.136551076439,0.00608475599642005,3,36119728
325.142370350971,13,27,7,0,0,0,1,0,CHOP,Protein,326.149646817851,-0.634943049792915,2,2868918
325.147878821571,17,26,4,0,0,1,0,0,CHOS,Lipid,326.155155288451,0.0758060954604978,3,1636024.1
325.165660112673,17,26,6,0,0,0,0,0,CHO,Protein,326.172936579553,0.00609384422945821,2,7550142.5
325.184253111047,18,30,3,0,0,1,0,0,CHOS,Lipid,326.191529577927,0.110184875876506,3,138675392
326.051721808015,13,15,7,0,1,0,1,0,CHOP,Lignin,327.058998274895,-0.318263358114913,2,3225596
326.059855855318,13,14,9,0,1,0,0,0,CHO,Lignin,327.067132322198,0.0139540221100049,2,5063167
326.088154019886,14,19,6,0,1,0,1,0,CHOP,Lignin,327.095430486766,-0.461016729564318,3,5100041
326.096214066759,14,18,8,0,1,0,0,0,CHO,Lignin,327.103490533639,0.0973965784962202,1,9252364
326.124473231103,15,23,5,0,1,0,1,0,CHOP,Lignin,327.131749697983,-0.25830994271885,2,2029590.1
326.132636278577,15,22,7,0,1,0,0,0,CHO,Lignin,327.139912745457,-0.014815547954235,1,5546521
326.169011490126,16,26,6,0,1,0,0,0,CHO,Protein,327.176287957006,0.0166515546176352,1,1532454.1
326.187617598336,17,30,3,0,1,1,0,0,CHOS,Lipid,327.194894065216,0.0803554216400818,1,23516716
326.759584016569,0,0,0,0,0,0,0,0,,None,327.766860483449,0,0,3494651.3
327.014730995745,16,8,8,0,0,0,0,0,CHO,ConHC,328.022007462625,-0.275070035918524,4,1353559.6
