Molecular formula,Altamaha_SW48_000107-4_p08
C15H16O10,77215408.0
C14H16O9N2,2320560.3
C19H16O7,4367025.5
C16H20O7S,2362034.8
C16H20O9,81163960.0
C15H20O8N2,3028157.3
C20H20O6,2927294.8
C17H24O8,40580808.0
C18H28O5S,1520077.0
C18H28O7,8206035.5
C14H15O10N,4237329.5
C15H19O9N,5860382.5
C16H23O8N,3585579.5
C17H27O7N,2171960.8
C17H10O9,5753195.5
C14H14O9S,4423020.5
C14H14O11,36665716.0
C18H14O8,10074488.0
C15H18O8S,4961657.5
C15H18O10,73218432.0
C19H18O7,8298885.5
C16H22O7S,3435910.8
C16H22O9,45021580.0
C20H22O6,5263762.5
C17H26O6S,2688403.8
C17H26O8,14739866.0
C21H26O5,2190751.8
C18H30O5S,2161056.8
C18H30O7,2917287.3
C16H9O9N,1641169.3
C13H13O11N,1661144.9
C17H13O8N,3023582.3
C14H17O10N,4716262.0
C18H17O7N,1641195.5
C15H21O9N,5621491.0
C16H25O8N,2658048.3
C20H25O5N,1557253.6
C16H8O10,2753587.5
C13H12O10S,2039348.6
C13H12O12,4612155.0
C17H12O9,14015553.0
C14H16O9S,4293697.5
C14H16O11,35191880.0
C18H16O8,17861710.0
C15H20O8S,5666895.0
C15H20O10,36461652.0
C19H20O7,15412315.0
C16H24O7S,1861724.0
C16H24O9,14212194.0
C20H24O6,8809576.0
C17H28O8,3728495.5
C21H28O5,2375285.0
C16H11O9N,3541927.0
C13H15O11N,2151854.8
C17H15O8N,4708788.0
C14H19O10N,4989372.0
C18H19O7N,2434497.3
C15H23O9N,4711881.0
C18H35O6N,2145776.3
C16H10O10,9269002.0
C13H14O10S,1776395.0
C13H14O12,4834065.5
C17H14O9,27344662.0
C14H18O9S,4270872.0
C14H18O11,15462175.0
C18H18O8,28262180.0
C15H22O8S,5469989.5
C15H22O10,8716076.0
C19H22O7,25169714.0
C16H26O9,2352440.8
C20H26O6,13147966.0
C21H30O5,1749323.4
C16H13O9N,4821118.0
C13H17O11N,2324613.5
C17H17O8N,5111947.0
C16H17O7N3,1720975.3
C14H21O10N,4376722.5
C18H21O7N,2628760.3
C15H25O9N,2036895.9
C15H8O11,2237908.0
C16H12O8S,1834970.6
C16H12O10,25625058.0
