molecular formula,Altamaha_SW48_000107-3_p08
C17H15O7N,2108781.0
C16H15O6N3,1476465.8
C14H19O9N,4577654.0
C15H23O8N,2893189.3
C18H35O5N,2123187.3
C16H10O9,6193917.5
C13H14O9S,3038975.0
C13H14O11,11723526.0
C17H14O8,11854605.0
C14H18O8S,2811662.3
C14H18O10,24736534.0
C18H18O7,11406108.0
C15H22O7S,4115229.8
C15H22O9,13493029.0
C19H22O6,9794348.0
C16H26O8,3539764.8
C20H26O5,4557627.0
C16H13O8N,3275956.5
C13H17O10N,2919613.5
C17H17O7N,2335940.0
C14H21O9N,4102349.0
C15H25O8N,1672924.5
C16H12O9,12994138.0
C13H16O9S,2591835.3
C13H16O11,4905571.0
C17H16O8,19396202.0
C14H20O8S,2611306.8
C16H16O7N2,2215022.3
C14H20O10,5060210.5
C18H20O7,17733240.0
C15H24O7S,2558586.5
C15H24O9,2878082.0
C19H24O6,12603017.0
C20H28O5,4517528.5
C16H32O6N2,1400998.1
C15H11O9N,1508870.4
C16H15O8N,4507670.0
C13H19O10N,2647071.3
C17H19O7N,2287653.8
C14H23O9N,2246191.0
C18H23O6N,1452597.4
C15H10O10,6664624.5
C16H14O9,22436288.0
C13H18O9S,2155457.8
C15H14O8N2,2144197.0
C13H18O11,1570761.3
C17H18O8,27208144.0
C14H22O8S,1530321.4
C16H18O7N2,3253205.0
C18H22O7,26880480.0
C19H26O6,12732912.0
C20H30O5,2039807.4
C15H13O9N,3301233.3
C16H17O8N,5376897.0
C13H21O10N,2456458.5
C17H21O7N,2414993.0
C15H12O10,18894112.0
C16H16O9,36252976.0
C15H16O8N2,3076404.3
C17H20O8,43986240.0
C16H20O7N2,2413892.3
C18H24O7,30633296.0
C19H28O6,8762719.0
C20H32O5,1534319.1
C17H36O5S,1705840.6
C15H15O9N,5198564.5
C16H19O8N,5115636.5
C17H23O7N,2181380.3
C14H10O11,3959942.0
C18H10O8,1540748.6
C15H14O8S,2006158.1
C15H14O10,35131544.0
C16H18O9,57389224.0
C15H18O8N2,3178155.0
C17H22O8,56094904.0
C18H26O5S,1566398.4
C18H26O7,20783302.0
C19H30O6,3288278.3
C16H34O6S,8519896.0
C14H13O10N,2498126.0
C15H17O9N,5950046.0
C16H21O8N,4044398.3
C17H25O7N,2171006.3
C17H8O9,1492217.0
C14H12O9S,1984506.5
C14H12O11,12235778.0
C18H12O8,3682313.3
C15H16O8S,2079754.6
C15H16O10,55997460.0
C14H16O9N2,1979927.5
C19H16O7,4053017.3
C16H20O7S,3195930.8
C16H20O9,64402468.0
C20H20O6,2008105.5
C17H24O8,35050548.0
C18H28O7,7169091.0
C19H32O6,1436499.3
C14H15O10N,3241421.0
C15H19O9N,5286365.5
C16H23O8N,4144621.5
C17H27O7N,3189245.8
C17H10O9,3880826.3
C14H14O9S,2998651.5
C14H14O11,25565060.0
C18H14O8,9000842.0
C15H18O8S,4036491.8
C15H18O10,53229460.0
C19H18O7,7501722.5
C16H22O7S,3120028.0
C16H22O9,37050276.0
C20H22O6,4860843.0
C17H26O6S,1541036.3
C17H26O8,12289972.0
C18H30O7,2539460.5
C20H38O5,1574885.0
C16H9O9N,1452854.4
C13H13O11N,1868095.8
C17H13O8N,2779974.5
C14H17O10N,3703120.0
C18H17O7N,1998167.0
C15H21O9N,5806432.5
C16H25O8N,2508144.8
C18H33O6N,1739153.1
C16H8O10,1594606.4
C13H12O12,3725047.8
C17H12O9,10885887.0
C14H16O9S,3183360.0
C14H16O11,25742088.0
C18H16O8,14641935.0
C15H20O8S,4917008.5
C15H20O10,27376408.0
C19H20O7,14531359.0
C16H24O7S,1568544.6
C16H24O9,11436841.0
C20H24O6,9417519.0
C17H28O8,3334968.8
C21H28O5,1882431.6
C18H32O7,2114377.0
C16H11O9N,2877116.0
C13H15O11N,1856197.5
C17H15O8N,3586252.3
C14H19O10N,4390101.5
C18H19O7N,1789660.6
C15H23O9N,4832486.0
C16H27O8N,1635574.4
C18H35O6N,3541271.0
C16H10O10,6469236.5
C13H14O10S,1682038.1
C13H14O12,3949182.0
C17H14O9,21827204.0
C14H18O9S,3541638.5
C14H18O11,10342030.0
C18H18O8,24735382.0
C15H22O8S,5140119.0
C15H22O10,7007902.5
C19H22O7,23543462.0
C16H26O9,2845871.0
C20H26O6,13020854.0
C21H30O5,1762502.1
C16H13O9N,3715138.8
C13H17O11N,2016844.3
C17H17O8N,4541523.0
C16H17O7N3,1442648.1
C14H21O10N,4203612.5
C18H21O7N,3201123.5
C15H25O9N,1936492.9
C16H12O8S,1728243.8
C16H12O10,17805820.0
C13H16O10S,2053117.1
C17H16O9,30990860.0
C14H20O9S,2781709.5
