Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensities,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
514.193166958731,23,35,10,0,1,0,1,0,CHOP,Lignin,515.200443425611,-0.591484954258091,-1,2035250.8,Altamaha_SW48_000107-4_p08,7.0,-3.0,0.0,0.05882,0.43478,1.52174,0.0,0.04348,0.0,inf,-0.86957,85.08261,0.43478,504.0,1.10457,0.42601,4.45137,0.38234,0.83773,0.58996,0.07470861704649492,C(13)23H35O10P,UAAs,Aliphatic-like,Lipid
515.046734075174,23,16,14,0,0,0,0,0,CHO,ConHC,516.054010542054,-0.0103071660292881,-1,6225630.5,Altamaha_SW48_000107-4_p08,16.0,2.0,0.22222,0.5625,0.6087,0.69565,0.0,0.0,0.0,0.0,0.52174,45.43043,0.6087,516.0,0.24494,0.45097,3.67732,0.49575,0.02872,0.28282,0.09856605340243711,C23H16O14,PPAs,Polyphenol-like,POCs
515.059756146022,20,21,14,0,0,0,1,0,CHOP,Tannin,516.067032612902,-0.272676596899542,-1,3011297.0,Altamaha_SW48_000107-4_p08,11.0,-3.0,0.0,0.25,0.7,1.05,0.0,0.05,0.0,inf,0.1,57.45,0.7,516.0,0.26092,0.43497,3.6932,0.47974,0.01273,0.26682,0.10269340389634721,C20H21O14P,PUCs,Tannin-like,POCs
515.067863448295,20,20,16,0,0,0,0,0,CHO,Tannin,516.075139915175,-0.0103077529627335,-1,5848802.5,Altamaha_SW48_000107-4_p08,11.0,-5.0,0.0,0.25,0.8,1.0,0.0,0.0,0.0,0.0,0.6,43.2,0.8,516.0,0.24454,0.45137,3.67693,0.49615,0.02912,0.28322,0.11536984340435677,C20H20O16,PUCs,Tannin-like,POCs
515.08311958237,24,20,13,0,0,0,0,0,CHO,Lignin,516.09039604925,-0.0103081754154506,-1,8771302.0,Altamaha_SW48_000107-4_p08,15.0,2.0,0.18182,0.48571,0.54167,0.83333,0.0,0.0,0.0,0.0,0.25,53.175,0.54167,516.0,0.20319,0.49278,3.63585,0.53756,0.0705,0.32462,0.08904844652251315,C24H20O13,PUCs,Lignin-like,POCs
515.096375508994,21,25,13,0,0,0,1,0,CHOP,Lignin,516.103651975874,-0.72577683232413,-1,3969768.3,Altamaha_SW48_000107-4_p08,10.0,-3.0,0.0,0.18519,0.61905,1.19048,0.0,0.04762,0.0,inf,-0.19048,65.72857,0.61905,516.0,0.21917,0.47678,3.65173,0.52156,0.0545,0.30862,0.09240363432193785,C21H25O13P,PUCs,Lignin-like,POCs
515.104248955489,21,24,15,0,0,0,0,0,CHO,Tannin,516.111525422369,-0.0103087589620579,-1,7667434.0,Altamaha_SW48_000107-4_p08,10.0,-5.0,0.0,0.18519,0.71429,1.14286,0.0,0.0,0.0,0.0,0.28571,52.15714,0.71429,516.0,0.20279,0.49318,3.63545,0.53796,0.0709,0.32502,0.10254161973077763,C21H24O15,PUCs,Tannin-like,POCs
515.119505089563,25,24,12,0,0,0,0,0,CHO,Lignin,516.126781556443,-0.0103091789322959,-1,7309037.0,Altamaha_SW48_000107-4_p08,14.0,2.0,0.15385,0.42105,0.48,0.96,0.0,0.0,0.0,0.0,0.0,60.3,0.48,516.0,0.16143,0.53459,3.59437,0.57938,0.11227,0.36641,0.08120703825548091,C25H24O12,PUCs,Lignin-like,POCs
515.132603623645,22,29,12,0,0,0,1,0,CHOP,Lignin,516.139880090525,-0.420785978993327,-1,7141103.5,Altamaha_SW48_000107-4_p08,9.0,-3.0,0.0,0.13333,0.54545,1.31818,0.0,0.04545,0.0,inf,-0.45455,73.25455,0.54545,516.0,0.17742,0.51859,3.61025,0.56337,0.09628,0.35041,0.08398811477329622,C22H29O12P,PUCs,Lignin-like,POCs
515.140634462681,22,28,14,0,0,0,0,0,CHO,Lignin,516.14791092956,-0.0103097588725228,-1,6520561.0,Altamaha_SW48_000107-4_p08,9.0,-5.0,0.0,0.13333,0.63636,1.27273,0.0,0.0,0.0,0.0,0.0,60.3,0.63636,516.0,0.16103,0.53499,3.59398,0.57978,0.11267,0.36681,0.09228072529031922,C22H28O14,PUCs,Lignin-like,POCs
